,condition,entropy
0,Full,1.374682097785323
1,Truncated,2.421733823154138
2,Full,1.4005462009910874
3,Truncated,2.4423997628944094
4,Full,1.4178293090899892
5,Truncated,2.3977874185909016
6,Full,1.3962568694253987
7,Truncated,2.4155519369809433
8,Full,1.4346494237594194
9,Truncated,2.4290767342957755
10,Full,1.4548926478568935
11,Truncated,2.4436271342101885
12,Full,1.4075607543658648
13,Truncated,2.4130649441641077
14,Full,1.4326687812336771
15,Truncated,2.392632794389628
16,Full,1.48681074346459
17,Truncated,2.403034174997491
18,Full,1.4249958464851862
19,Truncated,2.390633926321357
20,Full,1.4231104230657596
21,Truncated,2.4228340323613367
22,Full,1.4060566067636668
23,Truncated,2.4209531200788605
24,Full,1.4773980619607514
25,Truncated,2.40083990154087
26,Full,1.3868617485311063
27,Truncated,2.4299158756692427
28,Full,1.3794210338953017
29,Truncated,2.404248433433967
30,Full,1.3975114371444106
31,Truncated,2.4135747962612784
32,Full,1.3442953310441073
33,Truncated,2.443147949523516
34,Full,1.4495662424675797
35,Truncated,2.397111360323122
36,Full,1.41955592078731
37,Truncated,2.4434381367491036
38,Full,1.462575099878833
39,Truncated,2.4144289354839357
40,Full,1.3915388817035532
41,Truncated,2.4008211057659077
42,Full,1.404575237906825
43,Truncated,2.4207139144880587
44,Full,1.4213705669509522
45,Truncated,2.3869064966442464
46,Full,1.382421467969061
47,Truncated,2.384191197993623
48,Full,1.384129452708676
49,Truncated,2.4399369218278144
50,Full,1.3098818766179494
51,Truncated,2.3878755231284865
52,Full,1.297304848035159
53,Truncated,2.3916398762097053
54,Full,1.3355668556790452
55,Truncated,2.4060182939834607
56,Full,1.4286288926716124
57,Truncated,2.4371215224626996
58,Full,1.3609892920105569
59,Truncated,2.390813780980497
60,Full,1.4375679939625683
61,Truncated,2.453540884854037
62,Full,1.378627582544043
63,Truncated,2.438698013705641
64,Full,1.3343035862297463
65,Truncated,2.4611373967680636
66,Full,1.3141251306506052
67,Truncated,2.4155821431690234
68,Full,1.389227391451603
69,Truncated,2.4481359348396294
70,Full,1.3762120582171347
71,Truncated,2.4040931645368127
72,Full,1.3929772320949585
73,Truncated,2.438993963185106
74,Full,1.4936518587731635
75,Truncated,2.4242181088866275
76,Full,1.350469554101568
77,Truncated,2.436705472157632
78,Full,1.3746838336228848
79,Truncated,2.4049407513310417
80,Full,1.449190129685566
81,Truncated,2.4515880797853242
82,Full,1.5380193005996932
83,Truncated,2.432258382139528
84,Full,1.3062467792609156
85,Truncated,2.4167204611583193
86,Full,1.4275054130435438
87,Truncated,2.408079149617169
88,Full,1.4185342202730058
89,Truncated,2.438337495721453
90,Full,1.3358007834631258
91,Truncated,2.4328093988971125
92,Full,1.333965307721014
93,Truncated,2.4194633774599366
94,Full,1.4301356751783665
95,Truncated,2.406143932099602
96,Full,1.406106681523335
97,Truncated,2.405290040705797
98,Full,1.463985435442266
99,Truncated,2.426474241157698
100,Full,1.3612919901151586
101,Truncated,2.394000614486044
102,Full,1.3699909290012058
103,Truncated,2.390637036585462
104,Full,1.5065492939313465
105,Truncated,2.441219655981853
106,Full,1.4391276945050404
107,Truncated,2.4425552687258447
108,Full,1.3472123301365693
109,Truncated,2.445343742310645
110,Full,1.3073765874566563
111,Truncated,2.3772910528686793
112,Full,1.3899572452813829
113,Truncated,2.445166768511003
114,Full,1.4578903465003312
115,Truncated,2.435063794518424
116,Full,1.3570436419164476
117,Truncated,2.3913926022433762
118,Full,1.4432068282312074
119,Truncated,2.4174415833119958
120,Full,1.4046242361855117
121,Truncated,2.4244029370369935
122,Full,1.4173160111528325
123,Truncated,2.386992710303672
124,Full,1.43682849013225
125,Truncated,2.4771016485938944
126,Full,1.5631153961276878
127,Truncated,2.4562889833611203
128,Full,1.4887086464528552
129,Truncated,2.398510633589492
130,Full,1.388856718513016
131,Truncated,2.4809957858299416
132,Full,1.4276610483483005
133,Truncated,2.4502776161758177
134,Full,1.3719668724464569
135,Truncated,2.453055900648393
136,Full,1.2698533604659186
137,Truncated,2.3552201302579916
138,Full,1.3731058044332127
139,Truncated,2.401458016644629
140,Full,1.3395632555137353
141,Truncated,2.4347357873250903
142,Full,1.3079013602403395
143,Truncated,2.4090223439711766
144,Full,1.3519243358308688
145,Truncated,2.43507389298649
146,Full,1.4094389924923045
147,Truncated,2.4448629729484717
148,Full,1.4391608380967542
149,Truncated,2.46454128873829
150,Full,1.4912915288117017
151,Truncated,2.40950631687114
152,Full,1.3747348530282377
153,Truncated,2.4167114584527316
154,Full,1.4861044669470655
155,Truncated,2.441859078958496
156,Full,1.333417512410274
157,Truncated,2.4906493264577114
158,Full,1.355760044499235
159,Truncated,2.4169085453232557
160,Full,1.4525900238552623
