,condition,entropy
0,Full,0.5600042667504658
1,Truncated,0.9804443299020308
2,Full,0.6081490054476706
3,Truncated,1.0190349384745911
4,Full,0.5748572368532351
5,Truncated,0.915770913985386
6,Full,0.5215740276890296
7,Truncated,0.9403195418689437
8,Full,0.5674931569466244
9,Truncated,0.9528379135208478
10,Full,0.6036195180401258
11,Truncated,0.9899580753462411
12,Full,0.682168079972051
13,Truncated,1.0161215066550657
14,Full,0.5639630336874681
15,Truncated,1.005518620917417
16,Full,0.5888216586157693
17,Truncated,0.9389475401679
18,Full,0.5673946480098819
19,Truncated,0.9631908147976255
20,Full,0.5562464252529585
21,Truncated,1.032091702377097
22,Full,0.5316244272970753
23,Truncated,0.9166264605022112
24,Full,0.5910344462504776
25,Truncated,0.9878786038830121
26,Full,0.5675223619134522
27,Truncated,0.9126191770909101
28,Full,0.5632958109449331
29,Truncated,0.9288637894867965
30,Full,0.5272043790707124
31,Truncated,0.9759542359429001
32,Full,0.5763681544728586
33,Truncated,0.9266551076781904
34,Full,0.5386249606929032
35,Truncated,0.92037651052671
36,Full,0.599389590119211
37,Truncated,1.0269032546416366
38,Full,0.5337418211848581
39,Truncated,0.9197080446436353
40,Full,0.555648005934967
41,Truncated,0.9587640962833505
42,Full,0.5773004818624557
43,Truncated,1.0039959462229184
44,Full,0.6325882044526482
45,Truncated,1.0233044617290608
46,Full,0.5738669245131935
47,Truncated,1.015907351048832
48,Full,0.5617025910743756
49,Truncated,0.9846224553535016
50,Full,0.5763048605778666
51,Truncated,1.0284995220609687
52,Full,0.5918141788943075
53,Truncated,0.9476084444890533
54,Full,0.5892981136272087
55,Truncated,0.9519037290979517
56,Full,0.5381545393904547
57,Truncated,0.9522999403483241
58,Full,0.5980026129093028
59,Truncated,0.9742711334685505
60,Full,0.5975604555857118
61,Truncated,0.946191431570454
62,Full,0.5610957063626353
63,Truncated,0.8940894234594248
64,Full,0.5456956581521462
65,Truncated,0.9601180874013449
66,Full,0.5464339869520403
67,Truncated,0.955735600670357
68,Full,0.5696441744215008
69,Truncated,0.9641532115526683
70,Full,0.6477090080862755
71,Truncated,0.9585691509055121
72,Full,0.5820232087548847
73,Truncated,0.9766559397156868
74,Full,0.5967235484220977
75,Truncated,0.9948760161800432
76,Full,0.5263757584901883
77,Truncated,0.9428752722122964
78,Full,0.5814691877073944
79,Truncated,0.9957313754483358
80,Full,0.6366379181791526
81,Truncated,0.9899656445530423
82,Full,0.6471847409234961
83,Truncated,0.981580996822902
84,Full,0.5712955585454857
85,Truncated,0.9593976528062097
86,Full,0.6229477759371178
87,Truncated,0.9655693804069319
88,Full,0.5999097869550116
89,Truncated,0.9984400195924242
90,Full,0.5703072300363077
91,Truncated,1.0037198567477013
92,Full,0.633841539670895
93,Truncated,1.0037717591392108
94,Full,0.5668895079525911
95,Truncated,0.9541008151120556
96,Full,0.5917306961336961
97,Truncated,1.0084190287768244
98,Full,0.5993227892277299
99,Truncated,0.9881084276339788
100,Full,0.6261774895227702
101,Truncated,1.0087489935984018
102,Full,0.6015255797123111
103,Truncated,1.0430540780286242
104,Full,0.554738158316543
105,Truncated,0.9898076662454686
106,Full,0.5732840863480811
107,Truncated,0.9219779246803351
108,Full,0.5885217953805428
109,Truncated,0.9165164786708654
110,Full,0.6088328059824869
111,Truncated,1.0129481263518618
112,Full,0.5680804628643343
113,Truncated,0.9319746536934775
114,Full,0.6221673672266285
115,Truncated,1.0632382263622568
116,Full,0.5031296509638168
117,Truncated,0.939764436832979
118,Full,0.5783107152459727
119,Truncated,0.9945246830239387
120,Full,0.6536892568797015
121,Truncated,0.9780881378606826
