,condition,entropy
0,Full,0.32616741081415074
1,Truncated,0.6502058473702121
2,Full,0.3268164230898839
3,Truncated,0.6370226779197067
4,Full,0.37664710975304744
5,Truncated,0.7455177691416376
6,Full,0.29324872822399695
7,Truncated,0.6248512000830023
8,Full,0.34613304620494795
9,Truncated,0.6569044588714974
10,Full,0.31314345278519196
11,Truncated,0.6865697502840136
12,Full,0.429981170743207
13,Truncated,0.7038357986166869
14,Full,0.2740839790942213
15,Truncated,0.6155940676345738
16,Full,0.3087491034762669
17,Truncated,0.6623934639385699
18,Full,0.3210128438781156
19,Truncated,0.6901564676340259
20,Full,0.31159327633837164
21,Truncated,0.7237693752863549
22,Full,0.31999901618000604
23,Truncated,0.6681646090511243
24,Full,0.3107513205141663
25,Truncated,0.6372886683077024
26,Full,0.2871619634767199
27,Truncated,0.5939800422386942
28,Full,0.3182122300785451
29,Truncated,0.7401122318830919
30,Full,0.35707072725527195
31,Truncated,0.714254624313649
32,Full,0.3184903041673214
33,Truncated,0.6688303433016862
34,Full,0.4037023625017167
35,Truncated,0.637685012426498
36,Full,0.3110998931136578
37,Truncated,0.6978874738670958
38,Full,0.27882232576415866
39,Truncated,0.6358188738221777
40,Full,0.3764627016128251
41,Truncated,0.6564771115769713
42,Full,0.3769587499921407
43,Truncated,0.7141798036138367
44,Full,0.31156935547366166
45,Truncated,0.6619423219284133
46,Full,0.37055046325950675
47,Truncated,0.6718500244947772
48,Full,0.3221381212638977
49,Truncated,0.7284327758575344
50,Full,0.33475106635416846
51,Truncated,0.6285577112611394
52,Full,0.34300752491534864
53,Truncated,0.705237582310096
54,Full,0.36345262920601806
55,Truncated,0.7141578646050286
56,Full,0.3001532915051794
57,Truncated,0.6198106936983214
58,Full,0.3532434365878862
59,Truncated,0.686094492133144
60,Full,0.3106694070649269
61,Truncated,0.6351964903098983
62,Full,0.3316889989825969
63,Truncated,0.6173593883145357
64,Full,0.4013632374467078
65,Truncated,0.6925133185681921
66,Full,0.3659435587162798
67,Truncated,0.737383366762217
68,Full,0.4036638604474915
69,Truncated,0.7437620895101141
70,Full,0.31963372109344473
71,Truncated,0.6950471241601578
72,Full,0.35045924818047924
73,Truncated,0.6663835317910632
74,Full,0.3112485868831168
75,Truncated,0.6691933396654794
76,Full,0.33999147290528825
77,Truncated,0.6803209375112964
78,Full,0.2990696382723423
79,Truncated,0.7146681737557424
80,Full,0.36282056707547494
81,Truncated,0.6810728026073072
82,Full,0.3386089717034215
83,Truncated,0.6917992109572075
84,Full,0.3857543927545906
85,Truncated,0.6521566292627647
86,Full,0.26472746771482647
87,Truncated,0.6944533745464001
88,Full,0.2635666183271231
89,Truncated,0.6718449410550189
90,Full,0.34715004547579537
91,Truncated,0.6394211395490658
92,Full,0.35120953797598276
93,Truncated,0.6939520974488254
94,Full,0.36040605259959385
95,Truncated,0.7012754112420233
