,heuristic,board,correlation,sample_number
0,blocking,10_easy_full,0.522861204,0
1,blocking,10_easy_pruned,0.584389346,0
2,blocking,10_hard_full,0.593633944,0
3,blocking,10_hard_pruned,0.485099763,0
4,blocking,10_medium_full,0.550908181,0
5,blocking,10_medium_pruned,0.425744516,0
6,blocking,6_easy_full,0.83092733,0
7,blocking,6_easy_pruned,0.637681706,0
8,blocking,6_hard_full,0.645411877,0
9,blocking,6_hard_pruned,0.690339505,0
10,density,10_easy_full,0.094515514,0
11,density,10_easy_pruned,0.267425965,0
12,density,10_hard_full,0.326666294,0
13,density,10_hard_pruned,0.605565782,0
14,density,10_medium_full,0.272415608,0
15,density,10_medium_pruned,0.345544657,0
16,density,6_easy_full,0.324596057,0
17,density,6_easy_pruned,0.598236576,0
18,density,6_hard_full,0.344543879,0
19,density,6_hard_pruned,0.47807778,0
20,interaction,10_easy_full,0.404459963,0
21,interaction,10_easy_pruned,0.678686789,0
22,interaction,10_hard_full,0.581761055,0
23,interaction,10_hard_pruned,0.489916181,0
24,interaction,10_medium_full,0.60861939,0
25,interaction,10_medium_pruned,0.402954857,0
26,interaction,6_easy_full,0.759487503,0
27,interaction,6_easy_pruned,0.678616965,0
28,interaction,6_hard_full,0.676600214,0
29,interaction,6_hard_pruned,0.708430009,0
30,linear,10_easy_full,0.154446664,0
31,linear,10_easy_pruned,0.461828477,0
32,linear,10_hard_full,0.559486661,0
33,linear,10_hard_pruned,0.501665794,0
34,linear,10_medium_full,0.461329912,0
35,linear,10_medium_pruned,0.514776456,0
36,linear,6_easy_full,0.515192045,0
37,linear,6_easy_pruned,0.589349437,0
38,linear,6_hard_full,0.535265346,0
39,linear,6_hard_pruned,0.648193407,0
40,non-linear,10_easy_full,0.460533633,0
41,non-linear,10_easy_pruned,0.439354518,0
42,non-linear,10_hard_full,0.48043603,0
43,non-linear,10_hard_pruned,0.440295885,0
44,non-linear,10_medium_full,0.38896771,0
45,non-linear,10_medium_pruned,0.291186078,0
46,non-linear,6_easy_full,0.837681864,0
47,non-linear,6_easy_pruned,0.625560313,0
48,non-linear,6_hard_full,0.574287775,0
49,non-linear,6_hard_pruned,0.749048636,0
50,blocking,10_easy_full,0.630857635,1
51,blocking,10_easy_pruned,0.542785925,1
52,blocking,10_hard_full,0.707208142,1
53,blocking,10_hard_pruned,0.556388509,1
54,blocking,10_medium_full,0.399932741,1
55,blocking,10_medium_pruned,0.509207065,1
56,blocking,6_easy_full,0.819703074,1
57,blocking,6_easy_pruned,0.595054422,1
58,blocking,6_hard_full,0.756465833,1
59,blocking,6_hard_pruned,0.753479291,1
60,density,10_easy_full,-0.088333997,1
61,density,10_easy_pruned,0.47327017,1
62,density,10_hard_full,0.493136859,1
63,density,10_hard_pruned,0.362367456,1
64,density,10_medium_full,0.353510933,1
65,density,10_medium_pruned,0.216728468,1
66,density,6_easy_full,0.47254741,1
67,density,6_easy_pruned,0.483343266,1
68,density,6_hard_full,0.494060126,1
69,density,6_hard_pruned,0.376714117,1
70,interaction,10_easy_full,0.494505704,1
71,interaction,10_easy_pruned,0.622757354,1
72,interaction,10_hard_full,0.658426507,1
73,interaction,10_hard_pruned,0.535771695,1
74,interaction,10_medium_full,0.394848267,1
75,interaction,10_medium_pruned,0.491682472,1
76,interaction,6_easy_full,0.934267717,1
77,interaction,6_easy_pruned,0.459251034,1
78,interaction,6_hard_full,0.601945191,1
79,interaction,6_hard_pruned,0.665961686,1
80,linear,10_easy_full,0.211787794,1
81,linear,10_easy_pruned,0.369882309,1
82,linear,10_hard_full,0.534653913,1
83,linear,10_hard_pruned,0.375158044,1
84,linear,10_medium_full,0.406328152,1
85,linear,10_medium_pruned,0.454138541,1
86,linear,6_easy_full,0.510331075,1
87,linear,6_easy_pruned,0.587680883,1
88,linear,6_hard_full,0.436544073,1
89,linear,6_hard_pruned,0.638462063,1
90,non-linear,10_easy_full,0.494140696,1
91,non-linear,10_easy_pruned,0.535755801,1
92,non-linear,10_hard_full,0.572038238,1
93,non-linear,10_hard_pruned,0.420611655,1
94,non-linear,10_medium_full,0.414963435,1
95,non-linear,10_medium_pruned,0.387751961,1
96,non-linear,6_easy_full,0.842395434,1
97,non-linear,6_easy_pruned,0.619902823,1
98,non-linear,6_hard_full,0.328447988,1
99,non-linear,6_hard_pruned,0.693088755,1
100,blocking,10_easy_full,0.54840296,2
101,blocking,10_easy_pruned,0.507695492,2
102,blocking,10_hard_full,0.481903375,2
103,blocking,10_hard_pruned,0.570422033,2
104,blocking,10_medium_full,0.574719324,2
105,blocking,10_medium_pruned,0.441941413,2
106,blocking,6_easy_full,0.811273839,2
107,blocking,6_easy_pruned,0.683930445,2
108,blocking,6_hard_full,0.548352191,2
109,blocking,6_hard_pruned,0.486320998,2
110,density,10_easy_full,0.365412753,2
111,density,10_easy_pruned,0.196686697,2
112,density,10_hard_full,0.258064965,2
