,userid,board_name,fitted_heuristic
0,11d4bf94,6_hard_full,density
1,14b4c043,6_hard_full,interaction
2,14c5dc72,6_hard_full,blocking
3,17b4c1ea,6_hard_full,blocking
4,17e120dd,6_hard_full,interaction
5,18dac9ef,6_hard_full,density
6,20bfd7bd,6_hard_full,interaction
7,22dac859,6_hard_full,linear
8,24a5e25a,6_hard_full,blocking
9,24b61c03,6_hard_full,density
10,24f4c091,6_hard_full,blocking
11,25b60fb4,6_hard_full,density
12,25c4c0ab,6_hard_full,non-linear
13,26dbf6e9,6_hard_full,interaction
14,31e63b91,6_hard_full,blocking
15,32ebf2e8,6_hard_full,blocking
16,37f61258,6_hard_full,density
17,38ebbf94,6_hard_full,non-linear
18,3af4bfbb,6_hard_full,interaction
19,3bb613b2,6_hard_full,blocking
20,3cd60baf,6_hard_full,blocking
21,3df11bae,6_hard_full,blocking
22,43c60cd9,6_hard_full,blocking
23,44a4fa14,6_hard_full,interaction
24,47f614be,6_hard_full,blocking
25,49e6113d,6_hard_full,blocking
26,4af5df5d,6_hard_full,interaction
27,4ed4c1d3,6_hard_full,blocking
28,50c60ba6,6_hard_full,blocking
29,53c4c041,6_hard_full,interaction
30,54f4bf95,6_hard_full,blocking
31,55f5fe54,6_hard_full,blocking
32,57a4bf4b,6_hard_full,blocking
33,5ce612bc,6_hard_full,density
34,5dd4c056,6_hard_full,blocking
35,5edbbf73,6_hard_full,interaction
36,63c4bfcb,6_hard_full,density
37,63e5efe1,6_hard_full,blocking
38,64f61543,6_hard_full,blocking
39,67eac875,6_hard_full,linear
40,68d5e249,6_hard_full,interaction
41,69bad0fe,6_hard_full,blocking
42,6bf51f66,6_hard_full,interaction
43,6ee61190,6_hard_full,linear
44,70da8cfb,6_hard_full,interaction
45,72f4c145,6_hard_full,blocking
46,74b60b9f,6_hard_full,density
47,76e60f84,6_hard_full,blocking
48,78f60c95,6_hard_full,blocking
49,7bf4bf38,6_hard_full,non-linear
50,84a4bf3c,6_hard_full,blocking
51,87b50908,6_hard_full,interaction
52,87f4bf56,6_hard_full,linear
53,87f610ee,6_hard_full,non-linear
54,89d60ba4,6_hard_full,blocking
55,8ac4c37c,6_hard_full,blocking
56,8ea4bf56,6_hard_full,interaction
57,8fc76287,6_hard_full,blocking
58,8fcbec83,6_hard_full,density
59,90c60de8,6_hard_full,blocking
60,91a61ead,6_hard_full,density
61,91cfd7fb,6_hard_full,blocking
62,92b722f3,6_hard_full,blocking
63,94d6ef33,6_hard_full,interaction
64,94e4c554,6_hard_full,blocking
65,98c4bf54,6_hard_full,density
66,9adbc2df,6_hard_full,density
67,9dc50a3d,6_hard_full,linear
68,9df60bf8,6_hard_full,interaction
69,a2f6ba1d,6_hard_full,density
70,a3d4c3b2,6_hard_full,blocking
71,a3d5dfda,6_hard_full,density
72,a4c60d7a,6_hard_full,linear
73,a6f610e1,6_hard_full,blocking
74,acd61c3d,6_hard_full,density
75,ada4c06f,6_hard_full,blocking
76,b0d518a1,6_hard_full,interaction
77,b2d60bc9,6_hard_full,interaction
78,b7a4fe27,6_hard_full,blocking
79,b8e4bf48,6_hard_full,interaction
80,bae515f2,6_hard_full,blocking
81,bcdfd2df,6_hard_full,blocking
82,bed50a1d,6_hard_full,blocking
83,bfa60c8b,6_hard_full,blocking
84,bfe4c87d,6_hard_full,blocking
85,c0f60e45,6_hard_full,interaction
86,c6b4c141,6_hard_full,density
87,c6b60d63,6_hard_full,density
88,c7a61295,6_hard_full,blocking
89,c7a67aab,6_hard_full,density
90,c8a4fa50,6_hard_full,blocking
91,c8f4c13d,6_hard_full,blocking
92,cab61023,6_hard_full,blocking
93,cceac8ca,6_hard_full,linear
94,cee4bfa4,6_hard_full,linear
95,cfc5dcb3,6_hard_full,blocking
96,d8f6387b,6_hard_full,density
97,dbe71b15,6_hard_full,density
98,dcc4f10e,6_hard_full,density
99,dfcbf407,6_hard_full,blocking
100,dfe6bee3,6_hard_full,non-linear
101,ead61455,6_hard_full,linear
102,ebc61801,6_hard_full,blocking
103,eec7360c,6_hard_full,interaction
104,efebc5bb,6_hard_full,blocking
105,eff4bf48,6_hard_full,density
106,f1e613a1,6_hard_full,blocking
107,f2f60bd9,6_hard_full,blocking
108,f3dbeb7e,6_hard_full,linear
109,f4a6108e,6_hard_full,blocking
110,f6fbf6b1,6_hard_full,linear
111,f7b4bfae,6_hard_full,density
112,f8d60bcb,6_hard_full,linear
113,fac10d6e,6_hard_full,linear
114,fac6126a,6_hard_full,linear
115,fde4bf4b,6_hard_full,blocking
116,fff4bf68,6_hard_full,blocking
117,11a64d17,6_hard_pruned,non-linear
118,11e652f7,6_hard_pruned,blocking
119,14d64999,6_hard_pruned,blocking
120,16d516ad,6_hard_pruned,blocking
121,1dac01e7,6_hard_pruned,blocking
122,25b4e27c,6_hard_pruned,density
123,25cfdeaf,6_hard_pruned,non-linear
124,28e6483c,6_hard_pruned,density
125,2ab4ecbb,6_hard_pruned,non-linear
126,2afbbf79,6_hard_pruned,blocking
127,2ca66220,6_hard_pruned,linear
128,2cb650ed,6_hard_pruned,blocking
129,2fa647f5,6_hard_pruned,interaction
130,2ff50f64,6_hard_pruned,blocking
131,30c4e230,6_hard_pruned,linear
132,30e4feac,6_hard_pruned,density
133,33e649bd,6_hard_pruned,density
134,3ad4e7d3,6_hard_pruned,blocking
135,3ef64929,6_hard_pruned,blocking
136,40e4e2b8,6_hard_pruned,interaction
137,43e64821,6_hard_pruned,blocking
138,44a65230,6_hard_pruned,interaction
139,45b64f9c,6_hard_pruned,interaction
140,49c72e9b,6_hard_pruned,interaction
141,4bca7fc9,6_hard_pruned,blocking
142,4ca65156,6_hard_pruned,non-linear
143,4cb651bd,6_hard_pruned,density
144,4ed4e40b,6_hard_pruned,blocking
145,4ee64c2a,6_hard_pruned,blocking
146,51a4e32d,6_hard_pruned,non-linear
147,53a654e5,6_hard_pruned,density
148,53d65632,6_hard_pruned,density
149,59d4e268,6_hard_pruned,blocking
150,5adff9a5,6_hard_pruned,density
151,5dbfe29c,6_hard_pruned,interaction
152,5dd4e3a2,6_hard_pruned,blocking
153,5fa651bb,6_hard_pruned,density
154,61e65cc1,6_hard_pruned,linear
155,65afea1f,6_hard_pruned,linear
156,65e519cb,6_hard_pruned,blocking
157,65f4e348,6_hard_pruned,density
158,67f4ea8a,6_hard_pruned,interaction
159,67f64a50,6_hard_pruned,density
160,68c659b8,6_hard_pruned,density
161,6bb10472,6_hard_pruned,blocking
162,6bb4e746,6_hard_pruned,blocking
163,6dd103e2,6_hard_pruned,non-linear
164,6de4e267,6_hard_pruned,density
165,7da4f147,6_hard_pruned,linear
166,7dd704e0,6_hard_pruned,blocking
167,7df4e828,6_hard_pruned,linear
168,80f4e933,6_hard_pruned,blocking
169,81c11c9f,6_hard_pruned,interaction
170,82a4e284,6_hard_pruned,density
171,83c64bf9,6_hard_pruned,interaction
172,84f4e263,6_hard_pruned,interaction
173,85b4e5c4,6_hard_pruned,blocking
174,92a74a76,6_hard_pruned,blocking
175,9be4eb1b,6_hard_pruned,interaction
176,9dd66bae,6_hard_pruned,density
177,a0d659c9,6_hard_pruned,density
178,a0f4f1bf,6_hard_pruned,linear
179,a2ebe618,6_hard_pruned,interaction
180,a3b4e28e,6_hard_pruned,density
181,a5a65415,6_hard_pruned,density
182,aafbd6ab,6_hard_pruned,blocking
183,aed647d3,6_hard_pruned,non-linear
184,b0e1157c,6_hard_pruned,interaction
185,b2b4e2c1,6_hard_pruned,linear
186,b2e4e98a,6_hard_pruned,blocking
187,b8f4e433,6_hard_pruned,interaction
188,b9e512db,6_hard_pruned,blocking
189,bad4f1b5,6_hard_pruned,linear
190,bae4ffc0,6_hard_pruned,blocking
191,bdf4e34a,6_hard_pruned,blocking
192,bff4e70e,6_hard_pruned,density
193,c7c4e29b,6_hard_pruned,interaction
194,c7fffe38,6_hard_pruned,blocking
195,c9f64da2,6_hard_pruned,density
196,ccc4e27e,6_hard_pruned,blocking
197,ceb50693,6_hard_pruned,density
198,d1e4eb09,6_hard_pruned,interaction
199,d2f65bb5,6_hard_pruned,density
200,d4fac87b,6_hard_pruned,density
201,d8a4f092,6_hard_pruned,density
202,d8f4e4d9,6_hard_pruned,blocking
203,daefd33a,6_hard_pruned,interaction
204,dbe65101,6_hard_pruned,interaction
205,dec64994,6_hard_pruned,density
206,e0a737b6,6_hard_pruned,density
207,e1a64c7d,6_hard_pruned,linear
208,e1e500d7,6_hard_pruned,blocking
209,e2b655ad,6_hard_pruned,non-linear
210,e5d4e9ce,6_hard_pruned,density
211,e5d4fef8,6_hard_pruned,non-linear
212,e9dbbf8a,6_hard_pruned,density
213,e9e64bef,6_hard_pruned,blocking
214,ebc64a59,6_hard_pruned,density
215,f0c4e26c,6_hard_pruned,blocking
216,f1f65080,6_hard_pruned,linear
217,f6b64ced,6_hard_pruned,density
218,fcaffad4,6_hard_pruned,linear
219,fdaa7ebb,6_hard_pruned,density
220,fde4ef33,6_hard_pruned,non-linear
221,fde6491d,6_hard_pruned,interaction
222,fef4eae9,6_hard_pruned,interaction
223,13f4ff5a,10_hard_full,blocking
