,no. games,no. wins,no. losses,no. ties,win ratio,avg game len,avg game len (wins),avg game len (losses),avg shutter size,avg shutter size (wins),avg shutter size (losses),fraction of plays with shutter,fraction of plays with shutter (wins),fraction of plays with shutter (losses),avg shutter size (real last turn),avg shutter size (real last turn - wins),avg shutter size (real last turn - losses),fraction of plays with shutter (real last turn),fraction of plays with shutter (real last turn - wins),fraction of plays with shutter (real last turn - losses),CI_wins_losses,CI_game_length,CI_game_length_wins,CI_game_length_losses,CI_shutter_size,CI_shutter_size_wins,CI_shutter_size_losses,CI_plays_with_shutter_all,CI_plays_with_shutter_wins,CI_plays_with_shutter_losses,CI_shutter_size_real_last_turn,CI_shutter_size_wins_real_last_turn,CI_shutter_size_losses_real_last_turn,CI_plays_with_shutter_all_real_last_turn,CI_plays_with_shutter_wins_real_last_turn,CI_plays_with_shutter_losses_real_last_turn
board 1 full_None,1000,9,988,3,0.0105,6.392176529588767,7.0,6.386639676113361,2.506591337099812,0.0,2.651302605210421,0.164855634895995,0.75,0.158161648177496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.00401204 0.01504514],[6.27081244 6.51554664],[7. 7.],[6.26315789 6.51012146],[2.34274953 2.67231638],[0. 0.],[2.48496994 2.81763527],[0.15212667 0.17789506],[0.61111111 0.88888889],[0.14548336 0.17083994],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 1 truncated_None,1000,151,847,2,0.152,5.107214428857715,5.0,5.126328217237308,1.368586387434555,0.0,1.796143250688705,0.7229371688115064,1.0,0.6688162137263933,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.12925852 0.1743487 ],[5.03507014 5.18036072],[5. 5.],[5.04132231 5.2136954 ],[1.27853403 1.4591623 ],[0. 0.],[1.68595041 1.90564738],[0.70590462 0.73996972],[1. 1.],[0.64900967 0.68862275],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 2 full_None,1000,12,988,0,0.012,4.962,7.666666666666667,4.92914979757085,1.315168767791785,0.0576923076923077,1.342334856668052,0.9887414555689585,1.0,0.9885010266940452,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.006 0.019],[4.862 5.064],[6.66666667 8.66666667],[4.82995951 5.03036437],[1.26108174 1.37006913],[0.         0.15384615],[1.28707935 1.39842127],[0.98431846 0.99276236],[1. 1.],[0.98398357 0.9926078 ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 2 truncated_None,1000,47,953,0,0.047,5.387,6.48936170212766,5.332633788037776,1.288939051918736,0.06818181818181818,1.375503626107977,0.9782848730217151,1.0,0.9767807949626132,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.034 0.061],[5.296 5.479],[6.10638298 6.82978723],[5.24029381 5.42497377],[1.22949586 1.34988713],[0.02272727 0.125     ],[1.31305399 1.43916197],[0.97276408 0.98343762],[1. 1.],[0.97087761 0.98229044],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_None,1000,298,702,0,0.298,10.15,9.12751677852349,10.58404558404558,1.065217391304348,0.3793388429752066,1.344086021505376,0.8013016845329249,0.8018555334658715,0.8010767160161507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.27  0.326],[ 9.999 10.304],[8.86577181 9.39597315],[10.41310541 10.76068376],[1.02388915 1.10750119],[0.33057851 0.42975207],[1.29267473 1.39583333],[0.79039051 0.81221286],[0.78131213 0.82173625],[0.78815612 0.81372813],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 1 full_0,1000,65,934,1,0.0655,6.365365365365365,7.0,6.321199143468951,0.0,0.0,0.0,0.239292364990689,0.75,0.1951219512195122,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.05005005 0.08108108],[6.24924925 6.48448448],[7. 7.],[6.19700214 6.44753747],[0. 0.],[0. 0.],[0. 0.],[0.22470515 0.25418994],[0.69615385 0.8       ],[0.18089431 0.20934959],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 1 truncated_0,1000,403,597,0,0.403,5.327,5.0,5.547738693467337,0.0,0.0,0.0,0.8338568935427574,1.0,0.7125603864734299,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.373 0.433],[5.275 5.38 ],[5. 5.],[5.4639866  5.63149079],[0. 0.],[0. 0.],[0. 0.],[0.82024433 0.84746946],[1. 1.],[0.69082126 0.73429952],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 2 full_0,1000,144,856,0,0.144,7.194,8.569444444444445,6.962616822429907,0.0,0.0,0.0,0.9986372308530935,1.0,0.9983221476510067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.123 0.166],[7.064 7.322],[8.31944444 8.80555556],[6.82476636 7.10046729],[0. 0.],[0. 0.],[0. 0.],[0.99727446 0.99972745],[1. 1.],[0.9966443  0.99966443],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 2 truncated_0,1000,159,841,0,0.159,6.381,6.974842767295597,6.268727705112961,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.137 0.182],[6.331 6.431],[6.79874214 7.13836478],[6.2235434  6.31629013],[0. 0.],[0. 0.],[0. 0.],[1. 1.],[1. 1.],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_0,1000,476,524,0,0.476,9.444,8.344537815126051,10.44274809160305,0.0,0.0,0.0,0.7943548387096774,0.7850719424460432,0.8019005847953217,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.445 0.507],[9.298 9.59 ],[8.15966387 8.53781513],[10.26335878 10.6259542 ],[0. 0.],[0. 0.],[0. 0.],[0.78326613 0.80564516],[0.76798561 0.80215827],[0.7869152  0.81652047],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
