,no. games,no. wins,no. losses,no. ties,win ratio,avg game len,avg game len (wins),avg game len (losses),avg shutter size,avg shutter size (wins),avg shutter size (losses),fraction of plays with shutter,fraction of plays with shutter (wins),fraction of plays with shutter (losses),avg shutter size (real last turn),avg shutter size (real last turn - wins),avg shutter size (real last turn - losses),fraction of plays with shutter (real last turn),fraction of plays with shutter (real last turn - wins),fraction of plays with shutter (real last turn - losses),CI_wins_losses,CI_game_length,CI_game_length_wins,CI_game_length_losses,CI_shutter_size,CI_shutter_size_wins,CI_shutter_size_losses,CI_plays_with_shutter_all,CI_plays_with_shutter_wins,CI_plays_with_shutter_losses,CI_shutter_size_real_last_turn,CI_shutter_size_wins_real_last_turn,CI_shutter_size_losses_real_last_turn,CI_plays_with_shutter_all_real_last_turn,CI_plays_with_shutter_wins_real_last_turn,CI_plays_with_shutter_losses_real_last_turn
board 3 full_None,1000,0,1000,0,0.0,5.536,-1.0,5.536,3.050312155710613,-1.0,3.050312155710613,0.983742774566474,0.0,0.983742774566474,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0. 0.],[5.408 5.666],[-1 -1],[5.408 5.666],[2.97612927 3.1241278 ],[-1 -1],[2.97686375 3.12449504],[0.97904624 0.98843931],[nan nan],[0.97868497 0.98843931],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_None,1000,2,998,0,0.002,5.376,11.0,5.364729458917836,3.052354048964218,2.272727272727273,3.055597579425113,0.9873558943845295,0.9166666666666666,0.9876727680239074,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.    0.005],[5.252 5.502],[ 5. 17.],[5.24248497 5.49098196],[2.96760829 3.1386064 ],[1.09090909 3.63636364],[2.97049924 3.14069592],[0.98289327 0.99144663],[0.75 1.  ],[0.98319014 0.99178185],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_None,1000,61,939,0,0.061,5.043,7.295081967213115,4.896698615548456,0.7180392156862745,0.549407114624506,0.7366129734436221,0.9992163009404389,1.0,0.9991300565463245,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.047 0.076],[4.942 5.146],[6.90163934 7.68852459],[4.80085197 4.99680511],[0.68117647 0.75607843],[0.45059289 0.65612648],[0.69699608 0.77710057],[0.99804075 1.        ],[1. 1.],[0.99782514 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 truncated_None,1000,49,951,0,0.049,5.233,7.653061224489796,5.108307045215563,1.120166793025019,0.8679245283018868,1.142209398186315,0.9988640666414237,1.0,0.9987649238369699,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.036 0.063],[5.13  5.339],[7.20408163 8.14285714],[5.00736067 5.21135647],[1.07012889 1.17058378],[0.70754717 1.03773585],[1.08985985 1.19538335],[0.99734949 1.        ],[1. 1.],[0.99711816 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 full_None,1000,360,640,0,0.36,6.532,6.744444444444444,6.4125,1.913376546847378,1.40948275862069,2.263736263736264,0.9849100406268136,0.9985652797704447,0.9756335282651072,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.33 0.39],[6.37  6.698],[6.5 7. ],[6.2     6.63125],[1.84207425 1.9858574 ],[1.31321839 1.5079023 ],[2.16733267 2.36163836],[0.98084736 0.98897272],[0.9964132 1.       ],[0.96881092 0.98196881],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 truncated_None,1000,83,917,0,0.083,5.251,6.253012048192771,5.160305343511451,1.767228177641654,1.046979865771812,1.859982713915298,0.9793775778027747,0.9900332225913622,0.978021978021978,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.066 0.1  ],[5.134 5.372],[5.74698795 6.78313253],[5.04252999 5.28244275],[1.68529862 1.85030628],[0.84899329 1.26174497],[1.77268799 1.9494382 ],[0.97375328 0.98462692],[0.97674419 1.        ],[0.97210482 0.98351648],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_None,1000,961,39,0,0.961,11.175,10.93548387096774,17.07692307692308,0.2417127071823204,0.2105152911604525,0.7482993197278912,0.8352010547132498,0.8324324324324325,0.8828828828828829,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.949 0.973],[10.984 11.373],[10.76066597 11.1144641 ],[15.53846154 18.66666667],[0.22178374 0.26243094],[0.19145371 0.22999581],[0.60884354 0.89455782],[0.82580751 0.84459459],[0.8228422  0.84202267],[0.84684685 0.91591592],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 full_0,1000,338,662,0,0.338,5.038,3.218934911242604,5.966767371601208,0.0,0.0,0.0,0.9959077380952381,0.9985974754558204,0.9949367088607595,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.309 0.368],[4.889 5.191],[3.1183432  3.33727811],[5.78549849 6.15407855],[0. 0.],[0. 0.],[0. 0.],[0.99330357 0.99813988],[0.99579243 1.        ],[0.99139241 0.99797468],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_0,1000,142,858,0,0.142,5.122,4.169014084507042,5.27972027972028,0.0,0.0,0.0,0.9992401215805471,1.0,0.9991169977924945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.121 0.164],[4.984 5.265],[3.8028169 4.5915493],[5.13286713 5.43356643],[0. 0.],[0. 0.],[0. 0.],[0.9981003 1.       ],[1. 1.],[0.99779249 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_0,1000,231,769,0,0.231,5.705,6.567099567099567,5.446033810143043,0.0,0.0,0.0,0.9983153638814016,0.9988558352402745,0.9980897803247374,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.205 0.258],[5.57  5.842],[6.22943723 6.91341991],[5.30559168 5.58907672],[0. 0.],[0. 0.],[0. 0.],[0.99663073 0.99966307],[0.99656751 1.        ],[0.99617956 0.99952245],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 truncated_0,1000,271,729,0,0.271,5.289,4.675276752767528,5.517146776406036,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.244 0.299],[5.159 5.422],[4.39483395 4.96309963],[5.37722908 5.65980796],[0. 0.],[0. 0.],[0. 0.],[1. 1.],[1. 1.],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 full_0,1000,573,427,0,0.573,5.679,5.575916230366492,5.817330210772834,0.0,0.0,0.0,0.9961612284069098,0.9994692144373672,0.9911433172302737,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.542 0.604],[5.569 5.793],[5.46422339 5.69808028],[5.60655738 6.03278689],[0. 0.],[0. 0.],[0. 0.],[0.99392194 0.99808061],[0.99840764 1.        ],[0.98550725 0.99597424],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 truncated_0,1000,329,671,0,0.329,4.951,4.276595744680851,5.281669150521609,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.3   0.358],[4.83  5.074],[4.05775076 4.50151976],[5.14456036 5.42175857],[0. 0.],[0. 0.],[0. 0.],[1. 1.],[1. 1.],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_0,1000,985,15,0,0.985,10.441,10.40710659898477,12.66666666666667,0.0,0.0,0.0,0.8249606161386311,0.8246707013171948,0.8421052631578947,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.977 0.992],[10.3   10.585],[10.26700508 10.55329949],[11.6        13.86666667],[0. 0.],[0. 0.],[0. 0.],[0.81498337 0.83476282],[0.81470274 0.83463866],[0.76842105 0.91578947],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 full_1,1000,45,955,0,0.045,5.867,3.8,5.964397905759163,0.5274818917767362,0.0761904761904762,0.5486173059768065,0.793978349120433,0.9722222222222222,0.7872191011235955,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.033 0.058],[5.707 6.031],[3.04444444 4.82222222],[5.8052356  6.12774869],[0.50703025 0.54750746],[0.02857143 0.13333333],[0.52809991 0.5691347 ],[0.77943166 0.80852503],[0.93518519 1.        ],[0.77212079 0.80231742],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_1,1000,241,759,0,0.241,5.129,3.307053941908713,5.707509881422925,0.6887254901960784,0.5028901734104047,0.7387247278382582,0.911731843575419,1.0,0.8905817174515236,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.215 0.268],[4.993 5.269],[3.19917012 3.42323651],[5.54940711 5.86824769],[0.67034314 0.70710784],[0.46050096 0.54527938],[0.7190254  0.75842405],[0.9009311  0.92253259],[1. 1.],[0.87719298 0.90350877],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 full_1,1000,97,903,0,0.097,5.163,7.288659793814433,4.934662236987818,0.4807911753518448,0.3790523690773067,0.4991023339317774,0.9996197718631179,0.9975124378109452,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.079 0.116],[5.068 5.261],[6.97938144 7.6185567 ],[4.8482835  5.02325581],[0.46177254 0.49980981],[0.33167082 0.42643392],[0.47845601 0.51974865],[0.99885932 1.        ],[0.99253731 1.        ],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 4 truncated_1,1000,73,927,0,0.073,4.955,6.287671232876712,4.850053937432579,0.4230003979307601,0.3157894736842105,0.435692033822875,0.9996022275258553,1.0,0.9995551601423488,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.057 0.09 ],[4.871 5.04 ],[5.93150685 6.64383562],[4.76806904 4.93419633],[0.40350179 0.44249901],[0.2593985  0.37218045],[0.41522029 0.45616377],[0.99880668 1.        ],[1. 1.],[0.99866548 1.        ],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 full_1,1000,398,602,0,0.398,6.7,6.63819095477387,6.740863787375416,0.4453235377225205,0.2760210803689064,0.5724888668975755,0.9971823048746126,0.9986842105263158,0.996057171020207,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.368 0.428],[6.541 6.864],[6.40703518 6.88442211],[6.5282392  6.96013289],[0.42893473 0.46171235],[0.25362319 0.29841897],[0.55121227 0.59426027],[0.99520992 0.99887292],[0.99671053 1.        ],[0.99310005 0.99852144],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 5 truncated_1,1000,170,830,0,0.17,5.092,4.764705882352941,5.159036144578313,0.3587989357658685,0.2020408163265306,0.3946753853339561,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.147 0.194],[4.984 5.202],[4.49411765 5.04705882],[5.04337349 5.27951807],[0.34055492 0.37704295],[0.16734694 0.23877551],[0.37412424 0.41522653],[1. 1.],[1. 1.],[1. 1.],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
empty board_1,1000,965,35,0,0.965,10.953,10.8279792746114,14.4,0.1024606696248487,0.095338536173803,0.2580645161290323,0.832018795099849,0.8307341860872612,0.8611111111111112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.953 0.976],[10.776 11.135],[10.65803109 11.00621762],[13.08571429 15.88571429],[0.09398951 0.11093183],[0.08711242 0.10377557],[0.20276498 0.31797235],[0.82245343 0.84141635],[0.82092168 0.84037147],[0.81746032 0.90079365],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 full_2,1000,27,973,0,0.027,5.713,3.962962962962963,5.761562178828366,0.9773716275021758,0.4242424242424243,0.9937275985663082,0.8006968641114982,0.9850746268656716,0.7962896896182662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.017 0.037],[5.574 5.855],[3.59259259 4.33333333],[5.62178828 5.90544707],[0.94386423 1.01087903],[0.24242424 0.62121212],[0.95967742 1.02777778],[0.78606272 0.81498258],[0.95522388 1.        ],[0.78130574 0.81091687],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
board 3 truncated_2,1000,62,938,0,0.062,5.63,3.870967741935484,5.746268656716418,1.192365835222978,0.5562913907284768,1.230861723446894,0.9297259311314126,1.0,0.9257884972170687,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,[0.047 0.077],[5.478 5.785],[3.25806452 4.64516129],[5.59488273 5.90405117],[1.16553288 1.21919879],[0.46357616 0.64900662],[1.20400802 1.25811623],[0.92023893 0.93886156],[1. 1.],[0.91576994 0.93543599],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1],[-1 -1]
