,userid,board,shutter,shutter_cat,o_misses,x_misses
0,10d2eb59,10_medium_pruned,0.5,medium,1.0,0.0
1,10d437bd,10_hard_full,1.25,wide,1.0,0.3333333333333333
2,11a64d17,6_hard_pruned,0.18181818181818185,medium,1.0,0.0
3,11d4bf94,6_hard_full,0.8333333333333334,wide,0.5,0.5
4,11dfe866,6_easy_pruned,0.0,narrow,1.0,0.0
5,12eacae6,6_easy_full,1.3333333333333333,wide,0.6,0.0
6,13b7468e,10_hard_pruned,1.0,wide,1.0,0.0
7,13d3015e,10_easy_full,0.8,wide,1.0,0.0
8,13dbbfb8,10_hard_pruned,0.16666666666666666,narrow,0.6,0.0
9,13e5a30f,10_easy_pruned,0.4090909090909091,medium,1.0,0.0
10,13f4ff5a,10_hard_full,0.5,medium,0.8333333333333334,0.5
11,14b4c043,6_hard_full,0.0,narrow,0.25,0.0
12,14c5dc72,6_hard_full,0.08333333333333333,narrow,0.6666666666666666,0.0
13,15b55c06,6_easy_full,2.0,wide,1.0,0.6666666666666666
14,15c4420d,10_easy_full,0.5,medium,1.0,0.0
15,16d516ad,6_hard_pruned,0.0,narrow,1.0,0.0
16,16e512d0,6_easy_pruned,1.1428571428571428,wide,1.0,0.0
17,16ead0a0,10_easy_full,0.9,wide,1.0,1.0
18,16f6e58d,10_hard_pruned,0.6774193548387096,wide,0.6666666666666666,0.5
19,17b4c1ea,6_hard_full,0.7368421052631579,wide,0.25,0.0
20,17e120dd,6_hard_full,0.5483870967741935,wide,0.14285714285714285,0.5
21,17f6cea6,10_medium_pruned,0.5555555555555556,wide,1.0,0.3333333333333333
22,18a4334a,10_hard_full,0.32558139534883723,medium,0.4,1.0
23,18a695e2,10_hard_pruned,0.1568627450980392,narrow,0.8571428571428571,0.125
24,19a105e3,6_easy_pruned,1.28,wide,0.6666666666666666,0.0
25,19a561a7,6_easy_full,1.7027027027027026,wide,1.0,0.8888888888888888
26,1ab458e7,10_easy_full,0.7384615384615385,wide,0.72,0.5
27,1ab6da15,10_medium_full,0.7213114754098361,wide,0.6666666666666666,0.5
28,1dac01e7,6_hard_pruned,0.15,narrow,1.0,1.0
29,1de74153,10_easy_full,1.7058823529411764,wide,0.9714285714285714,0.6206896551724138
30,1ee2f27e,10_hard_pruned,0.625,wide,1.0,0.0
31,1fd1a960,6_easy_pruned,1.7142857142857142,wide,0.75,0.3333333333333333
32,1feef0c1,10_easy_pruned,0.21428571428571427,medium,1.0,0.0
33,1ff4f828,10_hard_full,0.2,medium,0.6666666666666666,0.0
34,20a4fec4,10_easy_full,0.5,medium,0.0,0.0
35,20bfd7bd,6_hard_full,0.0,narrow,0.3333333333333333,0.0
36,20e1bd34,10_hard_full,0.17647058823529413,medium,1.0,0.0
37,21abc061,10_hard_full,1.0,wide,0.6666666666666666,0.6
38,21f1bc74,6_easy_pruned,0.06666666666666668,narrow,0.6666666666666666,0.0
39,22b2f18d,10_easy_full,2.5,wide,1.0,0.0
40,22c5aae4,10_medium_pruned,0.5714285714285714,wide,0.6666666666666666,0.16666666666666666
41,22dac859,6_hard_full,0.35714285714285715,medium,0.6551724137931034,0.25
42,22f580c9,6_easy_full,1.7692307692307692,wide,0.6666666666666666,1.0
43,23a58279,10_easy_pruned,0.2,medium,1.0,0.5
44,23b6924e,10_easy_full,0.29850746268656714,medium,0.9696969696969696,0.3333333333333333
45,23b6aa96,10_easy_pruned,0.6071428571428571,wide,1.0,0.0
46,23dbc11c,10_hard_full,0.6666666666666666,wide,0.8571428571428571,0.0
47,24a5e25a,6_hard_full,0.5333333333333333,wide,1.0,0.0
48,24b61c03,6_hard_full,0.0,narrow,1.0,0.0
49,24d445c5,10_easy_full,1.1923076923076923,wide,0.4444444444444444,1.0
50,24e58a14,6_easy_full,0.6285714285714286,wide,1.0,0.16666666666666666
51,24f4c091,6_hard_full,0.32142857142857145,medium,0.5,0.0
52,25b43b96,10_hard_pruned,0.5555555555555556,wide,1.0,1.0
53,25b4e27c,6_hard_pruned,0.5909090909090909,wide,0.6666666666666666,0.6666666666666666
54,25b60fb4,6_hard_full,1.1538461538461535,wide,1.0,1.0
55,25c4c0ab,6_hard_full,0.6666666666666666,wide,1.0,0.5
56,25cfdeaf,6_hard_pruned,0.4166666666666667,medium,1.0,0.5
57,25dfef96,6_easy_full,0.0,narrow,1.0,0.3333333333333333
58,25f6ce98,10_hard_full,0.5,medium,1.0,0.0
59,26dbf6e9,6_hard_full,0.18181818181818185,medium,0.0,0.0
60,26e154ac,10_hard_full,0.16,narrow,0.8571428571428571,0.42857142857142855
61,26e55a5a,6_easy_full,1.568181818181818,wide,0.35714285714285715,0.75
62,27e436f9,6_easy_pruned,0.3076923076923077,medium,0.75,0.0
63,27e58321,10_hard_pruned,0.3333333333333333,medium,1.0,0.0
64,28a580c4,10_medium_full,0.11320754716981132,narrow,1.0,0.0
65,28d4fefb,10_hard_pruned,0.16666666666666666,narrow,0.8333333333333334,0.25
66,29e72a67,10_medium_pruned,1.9888888888888892,wide,0.625,0.5714285714285714
67,2aa15594,10_medium_pruned,0.125,narrow,1.0,0.125
68,2aa6b178,10_hard_pruned,0.41025641025641024,medium,0.7333333333333333,0.25
69,2aabe76a,6_easy_full,0.3333333333333333,medium,1.0,1.0
70,2abedf01,10_hard_full,0.7586206896551724,wide,0.3333333333333333,0.3333333333333333
71,2ac591b0,10_easy_pruned,0.5,medium,0.8333333333333334,0.5
72,2afbbf79,6_hard_pruned,0.2903225806451613,medium,0.8,0.2
73,2bcfe659,6_easy_full,0.5526315789473685,wide,1.0,1.0
74,2be432b7,10_hard_pruned,0.6,wide,1.0,1.0
75,2ca66220,6_hard_pruned,0.0,narrow,1.0,0.0
76,2cb650ed,6_hard_pruned,0.054054054054054064,narrow,1.0,0.14285714285714285
77,2dca846d,6_easy_pruned,0.4705882352941176,medium,1.0,0.0
78,2ed2eb11,10_easy_pruned,0.125,narrow,1.0,0.0
79,2fd101b0,10_easy_pruned,0.4782608695652174,medium,0.9565217391304348,1.0
80,2ff50f64,6_hard_pruned,0.0,narrow,1.0,0.0
81,30c4e230,6_hard_pruned,0.41935483870967744,medium,0.6875,0.5384615384615384
82,30e4feac,6_hard_pruned,0.3076923076923077,medium,1.0,0.6666666666666666
83,30f2f747,10_hard_pruned,0.26666666666666666,medium,0.5,0.16666666666666666
84,31b2e974,10_easy_full,0.42857142857142855,medium,0.8571428571428571,0.0
85,31b4fc9e,10_easy_full,0.42857142857142855,medium,1.0,0.0
86,31e63b91,6_hard_full,0.45,medium,0.7142857142857143,0.0
87,31f6a576,10_hard_pruned,0.1836734693877551,medium,0.8333333333333334,0.4
88,32a55a14,6_easy_pruned,0.0,narrow,1.0,0.0
89,32a581e0,10_medium_pruned,0.3181818181818182,medium,0.875,0.6
90,32b10037,6_easy_full,0.9444444444444444,wide,1.0,1.0
91,32e14a26,10_hard_full,0.3333333333333333,medium,0.5,0.0
92,32e2e940,10_medium_pruned,0.0,narrow,1.0,0.25
93,32ebf2e8,6_hard_full,0.48,medium,0.8333333333333334,0.6
94,33a74451,10_medium_pruned,0.2857142857142857,medium,1.0,0.25
95,33b693e2,6_easy_pruned,0.0,narrow,1.0,0.0
96,33c1b7cd,10_medium_pruned,0.4571428571428571,medium,1.0,0.2222222222222222
97,33e649bd,6_hard_pruned,0.3,medium,0.0,0.0
98,33ebe68d,6_easy_pruned,0.8333333333333334,wide,0.0,0.0
99,34b12db9,10_hard_full,1.2142857142857142,wide,0.6666666666666666,0.0
100,34b59cc7,10_medium_pruned,0.13043478260869565,narrow,1.0,0.25
101,34c6c058,10_easy_pruned,0.5,medium,1.0,0.0
102,37bffc4e,10_easy_full,1.0,wide,0.4,0.7142857142857143
103,37d59204,10_hard_pruned,2.0769230769230766,wide,0.5,1.0
104,38c1ac46,10_easy_pruned,0.5555555555555556,wide,1.0,0.0
105,38cbc1f6,10_medium_full,0.2195121951219512,medium,1.0,0.5
