,userid,board_name,missed_win,shutter,correct,mean_shutter_cat,greater_half
0,10d2eb59,10_medium_pruned,1,0,0,"narrow
(0-0.1)",1
1,10d437bd,10_hard_full,1,0.25,0,"medium
(0.1-0.67)",1
2,11a64d17,6_hard_pruned,1,0.4,0,"medium
(0.1-0.67)",1
3,11d4bf94,6_hard_full,0.5,0,0,"narrow
(0-0.1)",1
4,11dfe866,6_easy_pruned,1,0,1,"narrow
(0-0.1)",1
5,11e652f7,6_hard_pruned,1,0.4,0,"medium
(0.1-0.67)",1
6,12eacae6,6_easy_full,0.6,1,0,"wide
(0.67-3.6)",1
7,13b7468e,10_hard_pruned,1,1.5,1,"wide
(0.67-3.6)",1
8,13d3015e,10_easy_full,1,0,0,"narrow
(0-0.1)",1
9,13dbbfb8,10_hard_pruned,0.6,0.363636364,0,"medium
(0.1-0.67)",1
10,13e5a30f,10_easy_pruned,1,0.7,1,"wide
(0.67-3.6)",1
11,13f4ff5a,10_hard_full,0.833333333,0.625,0,"medium
(0.1-0.67)",1
12,14b4c043,6_hard_full,0.25,0,0,"narrow
(0-0.1)",0
13,14c5dc72,6_hard_full,0.666666667,0.2,0,"medium
(0.1-0.67)",1
14,15b55c06,6_easy_full,1,1,0,"wide
(0.67-3.6)",1
15,15c4420d,10_easy_full,1,0,0,"narrow
(0-0.1)",1
16,16d516ad,6_hard_pruned,1,0,0,"narrow
(0-0.1)",1
17,16e512d0,6_easy_pruned,1,1.6,1,"wide
(0.67-3.6)",1
18,16ead0a0,10_easy_full,1,1.2,0,"wide
(0.67-3.6)",1
19,16f6e58d,10_hard_pruned,0.666666667,1.307692308,0,"wide
(0.67-3.6)",1
20,17b4c1ea,6_hard_full,0.25,0.888888889,1,"wide
(0.67-3.6)",0
21,17e120dd,6_hard_full,0.142857143,1.090909091,0,"wide
(0.67-3.6)",0
22,17f6cea6,10_medium_pruned,1,0.875,1,"wide
(0.67-3.6)",1
23,18a4334a,10_hard_full,0.4,0.444444444,0,"medium
(0.1-0.67)",0
24,18a695e2,10_hard_pruned,0.857142857,0.304347826,0,"medium
(0.1-0.67)",1
25,19a105e3,6_easy_pruned,0.666666667,1.444444444,1,"wide
(0.67-3.6)",1
26,19a561a7,6_easy_full,1,2.461538462,1,"wide
(0.67-3.6)",1
27,1ab458e7,10_easy_full,0.72,0.862068966,0,"wide
(0.67-3.6)",1
28,1ab6da15,10_medium_full,0.666666667,0.807692308,0,"wide
(0.67-3.6)",1
29,1dac01e7,6_hard_pruned,1,0.333333333,0,"medium
(0.1-0.67)",1
30,1de74153,10_easy_full,0.971428571,1.166666667,0,"wide
(0.67-3.6)",1
31,1ee2f27e,10_hard_pruned,1,0.75,0,"wide
(0.67-3.6)",1
32,1fd1a960,6_easy_pruned,0.75,1.333333333,0,"wide
(0.67-3.6)",1
33,1feef0c1,10_easy_pruned,1,0.428571429,1,"medium
(0.1-0.67)",1
34,1ff4f828,10_hard_full,0.666666667,0,0,"narrow
(0-0.1)",1
35,20a4fec4,10_easy_full,0,0,0,"narrow
(0-0.1)",0
36,20bfd7bd,6_hard_full,0.333333333,0,0,"narrow
(0-0.1)",0
37,20e1bd34,10_hard_full,1,0.333333333,1,"medium
(0.1-0.67)",1
38,21abc061,10_hard_full,0.666666667,1.466666667,0,"wide
(0.67-3.6)",1
39,21f1bc74,6_easy_pruned,0.666666667,0,1,"narrow
(0-0.1)",1
40,22b2f18d,10_easy_full,1,2.333333333,0,"wide
(0.67-3.6)",1
41,22c5aae4,10_medium_pruned,0.666666667,0.933333333,1,"wide
(0.67-3.6)",1
42,22dac859,6_hard_full,0.655172414,0.636363636,0,"medium
(0.1-0.67)",1
43,22f580c9,6_easy_full,0.666666667,1.75,0,"wide
(0.67-3.6)",1
44,23a58279,10_easy_pruned,1,0,1,"narrow
(0-0.1)",1
45,23b6924e,10_easy_full,0.96969697,0.535714286,0,"medium
(0.1-0.67)",1
46,23b6aa96,10_easy_pruned,1,1.1,0,"wide
(0.67-3.6)",1
47,23dbc11c,10_hard_full,0.857142857,0.571428571,0,"medium
(0.1-0.67)",1
