,userid,board_name,shutter,correct,mean_shutter_cat
0,10d2eb59,10_medium_pruned,0.0,0,"narrow
(0-0.16)"
1,10d437bd,10_hard_full,0.25,0,"medium
(0.16-0.5)"
2,11a64d17,6_hard_pruned,0.4,0,"medium
(0.16-0.5)"
3,11d4bf94,6_hard_full,0.0,0,"narrow
(0-0.16)"
4,11dfe866,6_easy_pruned,0.0,1,"narrow
(0-0.16)"
5,11e652f7,6_hard_pruned,0.4,0,"medium
(0.16-0.5)"
6,11f436f2,10_easy_pruned,0.0,1,"narrow
(0-0.16)"
7,12eacae6,6_easy_full,1.0,0,"wide
(0.5-2.5)"
8,12ebbfd2,6_easy_pruned,0.0,1,"narrow
(0-0.16)"
9,13b7468e,10_hard_pruned,1.5,1,"wide
(0.5-2.5)"
10,13d3015e,10_easy_full,0.0,0,"narrow
(0-0.16)"
11,13dbbfb8,10_hard_pruned,0.36363636363636365,0,"medium
(0.16-0.5)"
12,13e5a30f,10_easy_pruned,0.7,1,"wide
(0.5-2.5)"
13,13f4ff5a,10_hard_full,0.625,0,"medium
(0.16-0.5)"
14,14b4c043,6_hard_full,0.0,0,"narrow
(0-0.16)"
15,14c5dc72,6_hard_full,0.2,0,"medium
(0.16-0.5)"
16,14c6b1ae,10_hard_pruned,0.0,1,"narrow
(0-0.16)"
17,14c6d368,10_medium_pruned,0.0,1,"narrow
(0-0.16)"
18,14d64999,6_hard_pruned,0.2,1,"medium
(0.16-0.5)"
19,15b2249e,10_medium_full,0.3333333333333333,0,"medium
(0.16-0.5)"
20,15b55c06,6_easy_full,1.0,0,"wide
(0.5-2.5)"
21,15c4420d,10_easy_full,0.0,0,"narrow
(0-0.16)"
22,15f2fc36,10_medium_pruned,0.0,0,"narrow
(0-0.16)"
23,16a2336c,6_easy_pruned,0.0,0,"narrow
(0-0.16)"
24,16c1a872,10_easy_pruned,0.0,1,"narrow
(0-0.16)"
25,16d516ad,6_hard_pruned,0.0,0,"narrow
(0-0.16)"
26,16e512d0,6_easy_pruned,1.6,1,"wide
(0.5-2.5)"
27,16ead0a0,10_easy_full,1.2,0,"wide
(0.5-2.5)"
28,16f6e58d,10_hard_pruned,1.3076923076923077,0,"wide
(0.5-2.5)"
29,17b4c1ea,6_hard_full,0.8888888888888888,1,"wide
(0.5-2.5)"
30,17e120dd,6_hard_full,1.0909090909090908,0,"wide
(0.5-2.5)"
31,17f6cea6,10_medium_pruned,0.875,1,"wide
(0.5-2.5)"
32,18a4334a,10_hard_full,0.4444444444444444,0,"medium
(0.16-0.5)"
33,18a695e2,10_hard_pruned,0.30434782608695654,0,"medium
(0.16-0.5)"
34,18c75602,10_medium_full,0.4166666666666667,1,"medium
(0.16-0.5)"
35,18dac9ef,6_hard_full,0.0,0,"narrow
(0-0.16)"
36,19a105e3,6_easy_pruned,1.4444444444444444,1,"wide
(0.5-2.5)"
37,19a1a95d,10_hard_pruned,0.3333333333333333,1,"medium
(0.16-0.5)"
38,19a561a7,6_easy_full,2.4615384615384617,1,"wide
(0.5-2.5)"
39,19b680e2,10_medium_pruned,0.4,1,"medium
(0.16-0.5)"
40,19d58478,10_hard_full,0.0,0,"narrow
(0-0.16)"
41,1ab458e7,10_easy_full,0.8620689655172413,0,"wide
(0.5-2.5)"
42,1ab6da15,10_medium_full,0.8076923076923077,0,"wide
(0.5-2.5)"
43,1bd72c42,10_hard_pruned,0.0,0,"narrow
(0-0.16)"
44,1dac01e7,6_hard_pruned,0.3333333333333333,0,"medium
(0.16-0.5)"
45,1de715c7,6_easy_pruned,0.0,0,"narrow
(0-0.16)"
46,1de74153,10_easy_full,1.1666666666666667,0,"wide
(0.5-2.5)"
47,1df22596,6_easy_pruned,0.0,1,"narrow
(0-0.16)"
48,1df6940e,10_hard_full,0.0,1,"narrow
(0-0.16)"
49,1ee2f27e,10_hard_pruned,0.75,0,"wide
(0.5-2.5)"
50,1fa5910b,10_medium_full,0.0,0,"narrow
(0-0.16)"
51,1fd1a960,6_easy_pruned,1.3333333333333333,0,"wide
(0.5-2.5)"
52,1fdbc072,6_easy_pruned,0.0,0,"narrow
(0-0.16)"
53,1fe6d227,10_medium_pruned,0.0,1,"narrow
(0-0.16)"
54,1feef0c1,10_easy_pruned,0.42857142857142855,1,"medium
(0.16-0.5)"
55,1feffe13,10_medium_pruned,0.0,1,"narrow
(0-0.16)"
56,1ff4f828,10_hard_full,0.0,0,"narrow
(0-0.16)"
57,20a4fec4,10_easy_full,0.0,0,"narrow
(0-0.16)"
58,20bfd7bd,6_hard_full,0.0,0,"narrow
(0-0.16)"
59,20e1bd34,10_hard_full,0.3333333333333333,1,"medium
(0.16-0.5)"
60,21abc061,10_hard_full,1.4666666666666666,0,"wide
(0.5-2.5)"
61,21d292ce,10_medium_full,0.2777777777777778,0,"medium
(0.16-0.5)"
62,21f1bc74,6_easy_pruned,0.0,1,"narrow
(0-0.16)"
63,22b2f18d,10_easy_full,2.3333333333333335,0,"wide
(0.5-2.5)"
64,22c15f64,10_medium_pruned,0.0,1,"narrow
(0-0.16)"
65,22c1b18a,10_hard_pruned,0.0,1,"narrow
(0-0.16)"
66,22c5aae4,10_medium_pruned,0.9333333333333333,1,"wide
(0.5-2.5)"
67,22dac859,6_hard_full,0.6363636363636364,0,"medium
(0.16-0.5)"
68,22f580c9,6_easy_full,1.75,0,"wide
(0.5-2.5)"
69,23a58279,10_easy_pruned,0.0,1,"narrow
(0-0.16)"
70,23b6924e,10_easy_full,0.5357142857142857,0,"medium
(0.16-0.5)"
71,23b6aa96,10_easy_pruned,1.1,0,"wide
(0.5-2.5)"
72,23dbc11c,10_hard_full,0.5714285714285714,0,"medium
(0.16-0.5)"
73,24a5e25a,6_hard_full,1.1428571428571428,0,"wide
(0.5-2.5)"
74,24b61c03,6_hard_full,0.0,0,"narrow
(0-0.16)"
75,24d445c5,10_easy_full,1.6521739130434783,1,"wide
(0.5-2.5)"
76,24e58a14,6_easy_full,0.6428571428571429,1,"medium
(0.16-0.5)"
77,24f4c091,6_hard_full,0.5384615384615384,0,"medium
(0.16-0.5)"
78,25b43b96,10_hard_pruned,0.3333333333333333,0,"medium
(0.16-0.5)"
79,25b4e27c,6_hard_pruned,0.6,0,"medium
(0.16-0.5)"
80,25b60fb4,6_hard_full,1.1666666666666667,0,"wide
(0.5-2.5)"
81,25c4c0ab,6_hard_full,1.3333333333333333,0,"wide
(0.5-2.5)"
82,25cfdeaf,6_hard_pruned,1.0,0,"wide
(0.5-2.5)"
83,25dfef96,6_easy_full,0.0,1,"narrow
(0-0.16)"
84,25f6ce98,10_hard_full,1.0,0,"wide
(0.5-2.5)"
85,26dbf6e9,6_hard_full,0.4,1,"medium
(0.16-0.5)"
86,26e154ac,10_hard_full,0.4,1,"medium
(0.16-0.5)"
87,26e55a5a,6_easy_full,2.1818181818181817,0,"wide
(0.5-2.5)"
88,26e680e4,10_easy_full,1.1578947368421053,0,"wide
(0.5-2.5)"
89,27e436f9,6_easy_pruned,0.0,1,"narrow
(0-0.16)"
90,27e58321,10_hard_pruned,0.0,0,"narrow
(0-0.16)"
91,28a580c4,10_medium_full,0.17391304347826086,0,"medium
(0.16-0.5)"
92,28d4fefb,10_hard_pruned,0.26666666666666666,1,"medium
(0.16-0.5)"
93,28e6483c,6_hard_pruned,0.0,0,"narrow
(0-0.16)"
94,28e67c08,10_hard_full,0.0,1,"narrow
(0-0.16)"
95,29bff31a,10_easy_pruned,0.0,1,"narrow
(0-0.16)"
96,29e72a67,10_medium_pruned,2.2564102564102564,0,"wide
(0.5-2.5)"
97,2aa15594,10_medium_pruned,0.2727272727272727,1,"medium
(0.16-0.5)"
98,2aa6b178,10_hard_pruned,0.5333333333333333,0,"medium
(0.16-0.5)"
99,2aabe76a,6_easy_full,2.0,0,"wide
(0.5-2.5)"
100,2ab4ecbb,6_hard_pruned,0.625,0,"medium
(0.16-0.5)"
101,2abedf01,10_hard_full,1.5,0,"wide
(0.5-2.5)"
102,2ac591b0,10_easy_pruned,0.5,0,"medium
(0.16-0.5)"
103,2ae55a14,6_easy_pruned,0.0,1,"narrow
(0-0.16)"
104,2af42b8d,6_easy_full,0.14285714285714285,1,"medium
(0.16-0.5)"
105,2afbbf79,6_hard_pruned,0.6428571428571429,0,"medium
(0.16-0.5)"
106,2bcfe659,6_easy_full,1.5,0,"wide
(0.5-2.5)"
107,2bd232b2,10_hard_full,2.0,0,"wide
(0.5-2.5)"
108,2bd72f3e,10_medium_pruned,0.0,1,"narrow
(0-0.16)"
109,2be432b7,10_hard_pruned,1.25,1,"wide
(0.5-2.5)"
110,2ca66220,6_hard_pruned,0.0,0,"narrow
(0-0.16)"
111,2cb650ed,6_hard_pruned,0.125,1,"medium
(0.16-0.5)"
112,2ce1ab22,10_easy_pruned,0.0,1,"narrow
(0-0.16)"
113,2dca846d,6_easy_pruned,0.2,0,"medium
(0.16-0.5)"
114,2dfbc35a,6_easy_pruned,1.3333333333333333,0,"wide
(0.5-2.5)"
115,2ecee330,6_easy_full,0.6,1,"medium
(0.16-0.5)"
116,2ed2eb11,10_easy_pruned,0.3333333333333333,1,"medium
(0.16-0.5)"
117,2fa647f5,6_hard_pruned,0.0,0,"narrow
(0-0.16)"
118,2fb4f99a,10_hard_full,0.0,1,"narrow
(0-0.16)"
119,2fd101b0,10_easy_pruned,0.6,0,"medium
(0.16-0.5)"
120,2fd310c0,6_easy_full,0.0,1,"narrow
(0-0.16)"
121,2fe692a5,10_easy_full,0.0,1,"narrow
(0-0.16)"
122,2ff50f64,6_hard_pruned,0.0,0,"narrow
(0-0.16)"
123,30c4e230,6_hard_pruned,0.5384615384615384,0,"medium
(0.16-0.5)"
124,30e4feac,6_hard_pruned,0.3333333333333333,0,"medium
(0.16-0.5)"
125,30f2f747,10_hard_pruned,0.375,0,"medium
(0.16-0.5)"
126,31b2e974,10_easy_full,0.5555555555555556,0,"medium
(0.16-0.5)"
127,31b4fc9e,10_easy_full,1.125,1,"wide
(0.5-2.5)"
128,31e63b91,6_hard_full,0.6666666666666666,0,"medium
(0.16-0.5)"
129,31f6a576,10_hard_pruned,0.47368421052631576,0,"medium
(0.16-0.5)"
130,32a55a14,6_easy_pruned,0.0,1,"narrow
(0-0.16)"
131,32a581e0,10_medium_pruned,0.75,1,"wide
(0.5-2.5)"
132,32b10037,6_easy_full,1.6153846153846154,0,"wide
(0.5-2.5)"
133,32bf008f,6_easy_pruned,0.0,1,"narrow
(0-0.16)"
134,32e14a26,10_hard_full,0.75,0,"wide
(0.5-2.5)"
135,32e2e940,10_medium_pruned,0.0,1,"narrow
(0-0.16)"
136,32ebf2e8,6_hard_full,1.1,1,"wide
(0.5-2.5)"
137,32fad07f,10_hard_pruned,0.0,1,"narrow
(0-0.16)"
138,33a74451,10_medium_pruned,0.3181818181818182,1,"medium
(0.16-0.5)"
139,33b693e2,6_easy_pruned,0.0,0,"narrow
(0-0.16)"
140,33bbca9a,10_medium_full,0.2857142857142857,0,"medium
(0.16-0.5)"
141,33c1b7cd,10_medium_pruned,0.5333333333333333,1,"medium
(0.16-0.5)"
142,33c5818d,6_easy_full,1.0,0,"wide
(0.5-2.5)"
143,33e649bd,6_hard_pruned,0.6,0,"medium
(0.16-0.5)"
144,33ebe68d,6_easy_pruned,0.8333333333333334,1,"wide
(0.5-2.5)"
145,34b12db9,10_hard_full,1.4285714285714286,0,"wide
(0.5-2.5)"
146,34b59cc7,10_medium_pruned,0.2727272727272727,1,"medium
(0.16-0.5)"
147,34c6c058,10_easy_pruned,0.0,0,"narrow
(0-0.16)"
148,34cffc40,6_easy_full,0.0,0,"narrow
(0-0.16)"
149,34d51755,10_medium_full,0.0,0,"narrow
(0-0.16)"
150,36c1af0c,10_medium_full,0.0,0,"narrow
(0-0.16)"
151,36ebe4da,10_medium_full,0.5,0,"medium
(0.16-0.5)"
152,37bffc4e,10_easy_full,0.8333333333333334,1,"wide
(0.5-2.5)"
153,37d59204,10_hard_pruned,2.1666666666666665,0,"wide
(0.5-2.5)"
154,37e6e013,10_medium_pruned,0.0,1,"narrow
(0-0.16)"
155,37f61258,6_hard_full,0.5,0,"medium
(0.16-0.5)"
156,38a1a872,10_medium_full,1.0,0,"wide
(0.5-2.5)"
157,38abe966,6_easy_full,0.0,1,"narrow
(0-0.16)"
158,38c1ac46,10_easy_pruned,1.0,1,"wide
(0.5-2.5)"
159,38cbc1f6,10_medium_full,0.3888888888888889,0,"medium
(0.16-0.5)"
160,38e2e9be,6_easy_pruned,0.0,0,"narrow
(0-0.16)"
161,38e6c356,10_hard_pruned,0.8571428571428571,0,"wide
(0.5-2.5)"
162,38ebbf94,6_hard_full,0.5555555555555556,0,"medium
(0.16-0.5)"
163,39a23ae7,10_easy_full,1.88,0,"wide
(0.5-2.5)"
164,39afd1eb,10_easy_pruned,0.0,1,"narrow
(0-0.16)"
165,39b67ab6,10_medium_full,1.6666666666666667,0,"wide
(0.5-2.5)"
166,39eeed89,10_easy_pruned,0.2857142857142857,0,"medium
(0.16-0.5)"
167,3ab7160d,10_easy_pruned,0.7368421052631579,1,"wide
(0.5-2.5)"
168,3ac5170c,10_easy_full,0.8571428571428571,1,"wide
(0.5-2.5)"
169,3acff9fa,6_easy_full,0.0,0,"narrow
(0-0.16)"
170,3ad4e7d3,6_hard_pruned,0.0,1,"narrow
(0-0.16)"
171,3af4bfbb,6_hard_full,0.5,0,"medium
(0.16-0.5)"
172,3bac0799,6_easy_full,0.0,1,"narrow
(0-0.16)"
